"DateTime","VSPD","ERPM","ECTV","MAFV","IATV"
2019-09-17 12:20:00,3,983,89,1,37
2019-09-17 12:20:01,3,848,89,3,37
2019-09-17 12:20:02,3,848,89,2,37
2019-09-17 12:20:03,4,869,89,2,38
2019-09-17 12:20:04,4,848,89,2,38
2019-09-17 12:20:05,4,832,89,2,38
2019-09-17 12:20:06,5,799,89,2,38
2019-09-17 12:20:07,5,799,89,1,38
2019-09-17 12:20:08,5,789,89,1,38
2019-09-17 12:20:09,5,784,89,1,38
2019-09-17 12:20:10,4,778,89,1,38
2019-09-17 12:20:11,2,777,89,1,38
2019-09-17 12:20:12,0,759,89,1,38
2019-09-17 12:20:13,0,743,89,1,38
2019-09-17 12:20:14,0,743,89,1,38
2019-09-17 12:20:15,0,661,89,1,38
2019-09-17 12:20:16,0,722,89,1,38
2019-09-17 12:20:17,0,714,89,1,39
2019-09-17 12:20:18,0,695,89,1,38
2019-09-17 12:20:19,0,705,89,1,39
2019-09-17 12:20:20,0,711,89,1,39
2019-09-17 12:20:21,0,703,89,1,39
2019-09-17 12:20:22,0,713,89,1,39
2019-09-17 12:20:23,0,700,89,1,39
2019-09-17 12:20:24,0,705,89,1,39
2019-09-17 12:20:25,0,708,89,1,39
2019-09-17 12:20:26,0,629,89,1,39
2019-09-17 12:20:27,1,629,87,2,39
2019-09-17 12:20:28,3,1402,87,6,39
2019-09-17 12:20:29,5,1428,89,5,39
2019-09-17 12:20:30,6,1934,87,9,39
2019-09-17 12:20:31,9,1798,87,9,39
2019-09-17 12:20:32,10,1708,87,6,39
2019-09-17 12:20:33,11,1384,87,7,39
2019-09-17 12:20:34,14,1594,87,14,39
2019-09-17 12:20:35,19,2149,87,15,39
2019-09-17 12:20:36,20,2540,87,4,39
2019-09-17 12:20:37,19,1320,87,4,39
2019-09-17 12:20:38,20,2080,87,20,39
2019-09-17 12:20:39,23,1789,87,16,39
2019-09-17 12:20:40,25,1789,87,13,39
2019-09-17 12:20:41,27,1695,87,11,38
2019-09-17 12:20:42,26,1758,87,7,38
2019-09-17 12:20:43,28,1775,87,18,38
2019-09-17 12:20:44,29,2449,87,20,38
